Time (s),Current (nA)
17:05:57.364,-0.0104
17:05:57.364,-0.011
17:05:57.366,0.0149
17:05:57.368,-0.0176
17:05:57.370,-0.0106
17:05:57.374,0.0329
17:05:57.374,0.0098
17:05:57.376,-0.0235
17:05:57.377,0.0047
17:05:57.379,0.0019
17:05:57.379,0.006
17:05:57.389,0.0223
17:05:57.396,0.0129
17:05:57.404,-0.0136
17:05:57.407,0.0046
17:05:57.410,0.005
17:05:57.412,0.034
17:05:57.412,0.0096
17:05:57.415,0.0087
17:05:57.417,0.0027
17:05:57.421,0.0073
17:05:57.422,0.0231
17:05:57.422,0.0105
17:05:57.426,0.0002
17:05:57.426,0.0351
17:05:57.430,0.0066
17:05:57.438,-0.0025
17:05:57.438,-0.0096
17:05:57.451,0.0053
17:05:57.456,0.0258
17:05:57.456,-0.0083
17:05:57.459,-0.0182
17:05:57.461,0.0041
17:05:57.461,-0.0022
17:05:57.465,-0.0156
17:05:57.467,0.0229
17:05:57.469,-0.0138
17:05:57.470,0.0089
17:05:57.472,0.0008
17:05:57.474,0.0096
17:05:57.483,0.0117
17:05:57.483,-0.0019
17:05:57.496,0.0147
17:05:57.499,-0.0181
17:05:57.499,0.0192
17:05:57.504,-0.0057
17:05:57.506,0.0499
17:05:57.508,0.006
17:05:57.510,0.0218
17:05:57.511,0.0314
17:05:57.511,0.0069
17:05:57.515,-0.0079
17:05:57.517,0.0001
17:05:57.518,-0.0167
17:05:57.533,0.0058
17:05:57.533,0.0026
17:05:57.533,0.0212
17:05:57.546,0.0445
17:05:57.547,0.0342
17:05:57.551,-0.0181
17:05:57.551,0.0043
17:05:57.553,-0.0058
17:05:57.555,-0.0312
17:05:57.556,-0.0078
17:05:57.558,0.0043
17:05:57.560,-0.018
17:05:57.563,0.0145
17:05:57.575,-0.0002
17:05:57.580,0.0005
17:05:57.586,0.011
17:05:57.586,0.0127
17:05:57.591,0.009
17:05:57.593,0.0107
17:05:57.595,0.0322
17:05:57.598,-0.0169
17:05:57.598,-0.0194
17:05:57.600,0.0087
17:05:57.602,0.0115
17:05:57.603,0.0288
