Time (s),Current (nA)
17:33:35.003,0.0141
17:33:35.051,0.0182
17:33:35.103,0.0017
17:33:35.159,-0.0005
17:33:35.203,0.0127
17:33:35.257,0.0089
17:33:35.306,0.0068
17:33:35.357,-0.0049
17:33:35.399,0.0058
17:33:35.446,0.0027
17:33:35.494,0.0123
17:33:35.528,-0.0048
17:33:35.574,-0.0073
17:33:35.621,0.0097
17:33:35.667,0.0041
17:33:35.715,0.0104
17:33:35.763,-0.0325
17:33:35.813,0.0109
17:33:35.859,0.0076
17:33:35.904,0.0022
17:33:35.936,-0.0016
17:33:35.986,0.0076
17:33:36.030,0.0109
17:33:36.062,0.0114
17:33:36.093,0.0013
17:33:36.141,0.0025
17:33:36.188,0.0053
17:33:36.234,0.0111
17:33:36.283,0.0154
17:33:36.314,0.0085
17:33:36.362,0.014
17:33:36.409,0.0153
17:33:36.457,-0.0048
17:33:36.505,0.0174
17:33:36.536,0.0007
17:33:36.583,0.0
17:33:36.632,0.0201
17:33:36.662,0.0053
17:33:36.709,0.0079
17:33:36.761,0.0108
17:33:36.803,-0.0149
17:33:36.866,-0.0022
17:33:36.915,-0.0034
17:33:36.973,0.0025
17:33:37.011,0.0156
17:33:37.055,0.0097
17:33:37.087,0.0252
17:33:37.135,0.0077
17:33:37.166,0.0079
17:33:37.215,-0.0039
17:33:37.263,-0.0009
17:33:37.294,-0.0038
17:33:37.341,0.0082
17:33:37.388,-0.0013
17:33:37.444,0.021
17:33:37.482,0.0006
17:33:37.516,0.0008
17:33:37.565,0.0247
17:33:37.609,0.0083
17:33:37.656,0.0061
17:33:37.705,0.0022
17:33:37.735,0.0248
17:33:37.782,0.0079
17:33:37.836,-0.0061
17:33:37.877,0.0189
17:33:37.916,0.005
17:33:37.962,-0.0047
17:33:38.005,0.0064
17:33:38.035,0.0048
17:33:38.082,-0.0091
17:33:38.130,-0.0035
17:33:38.177,0.0109
17:33:38.224,0.0077
17:33:38.263,0.0108
17:33:38.304,0.0091
17:33:38.352,0.0127
17:33:38.400,0.0045
17:33:38.431,0.0041
17:33:38.479,0.0047
17:33:38.529,0.0154
17:33:38.574,0.0029
17:33:38.607,0.0057
17:33:38.664,0.0166
17:33:38.700,0.0091
17:33:38.747,0.0096
17:33:38.794,0.0076
17:33:38.844,0.0067
17:33:38.873,0.0104
17:33:38.920,0.0063
17:33:38.967,0.0203
17:33:38.999,0.02
17:33:39.030,0.0166
17:33:39.084,0.0086
17:33:39.125,0.0173
17:33:39.173,-0.0018
17:33:39.222,0.0153
17:33:39.253,0.0055
17:33:39.300,0.0117
17:33:39.348,-0.0034
17:33:39.395,0.0128
17:33:39.426,0.0108
17:33:39.474,0.0031
17:33:39.527,-0.003
17:33:39.569,0.0088
17:33:39.616,-0.0119
17:33:39.648,0.0242
17:33:39.696,0.0121
17:33:39.745,0.008
17:33:39.798,0.0035
17:33:39.853,-0.0066
17:33:39.900,-0.0115
17:33:39.932,0.0025
17:33:39.980,-0.0011
17:33:40.028,-0.0052
17:33:40.066,0.0003
17:33:40.111,0.0097
17:33:40.160,0.0113
17:33:40.201,0.0117
17:33:40.232,0.0129
17:33:40.279,0.0179
17:33:40.328,0.0061
17:33:40.377,0.0125
17:33:40.427,0.0075
17:33:40.477,0.0089
17:33:40.529,0.0091
17:33:40.590,0.0133
17:33:40.638,0.0159
17:33:40.677,0.0024
17:33:40.720,0.0079
17:33:40.767,0.0061
17:33:40.804,0.0047
17:33:40.867,0.0088
17:33:40.914,0.0154
17:33:40.946,0.0079
17:33:40.993,0.0096
17:33:41.026,0.0111
17:33:41.072,0.0044
17:33:41.121,0.0139
17:33:41.167,-0.0024
17:33:41.227,-0.0076
17:33:41.277,0.0154
17:33:41.312,0.0008
17:33:41.360,0.0104
17:33:41.395,0.0109
17:33:41.448,0.0197
17:33:41.483,0.0162
17:33:41.531,0.0033
17:33:41.578,-0.0007
17:33:41.627,0.0059
17:33:41.679,0.0047
17:33:41.731,0.0069
17:33:41.782,0.009
17:33:41.832,0.0052
17:33:41.879,0.0029
17:33:41.944,0.0034
17:33:41.989,0.0133
17:33:42.022,0.0063
17:33:42.068,0.0028
17:33:42.116,-0.0072
17:33:42.163,-0.007
17:33:42.196,0.0185
17:33:42.244,0.0028
17:33:42.290,0.0115
17:33:42.337,-0.0103
17:33:42.368,0.0129
17:33:42.427,0.0123
17:33:42.481,0.0169
17:33:42.528,0.0035
17:33:42.568,-0.0036
17:33:42.608,0.008
17:33:42.661,0.0028
17:33:42.709,0.0081
17:33:42.758,0.0086
17:33:42.815,0.0055
17:33:42.868,0.0059
17:33:42.914,0.0061
17:33:42.954,0.0074
17:33:43.012,0.0052
17:33:43.060,0.0146
17:33:43.097,0.001
17:33:43.147,0.0024
17:33:43.192,0.0056
17:33:44.400,-0.0022
17:33:44.446,-0.0003
17:33:44.477,0.0119
17:33:44.525,0.0105
17:33:44.556,0.0095
17:33:44.605,0.0083
17:33:44.637,-0.0059
17:33:44.699,0.0068
17:33:44.746,0.0154
17:33:44.794,0.0144
17:33:44.839,0.0042
17:33:44.889,0.007
17:33:44.936,0.0186
17:33:44.971,0.0125
17:33:45.025,0.0116
17:33:45.071,0.0078
17:33:45.125,-0.01
17:33:45.172,0.0037
17:33:45.224,0.025
17:33:45.267,0.0092
17:33:45.314,0.0098
17:33:45.363,-0.001
17:33:45.411,0.0042
17:33:45.458,0.0157
17:33:45.520,0.0132
17:33:45.558,0.0106
17:33:45.607,0.0092
17:33:45.647,0.0259
17:33:45.694,0.0001
17:33:45.751,-0.0052
17:33:45.789,0.0008
17:33:45.836,0.0042
17:33:45.884,0.0051
17:33:45.930,0.0087
17:33:45.978,0.0031
17:33:46.039,0.0073
17:33:46.073,0.0143
17:33:46.119,-0.0016
17:33:46.153,0.0117
17:33:46.207,0.0081
17:33:46.253,0.0113
17:33:46.295,0.0078
17:33:46.342,0.0044
17:33:46.394,0.0032
17:33:46.422,0.0099
17:33:46.485,0.0119
17:33:46.532,0.0038
17:33:46.579,0.0127
17:33:46.643,0.016
17:33:46.690,-0.0189
17:33:46.722,0.0015
17:33:46.781,0.0083
17:33:46.816,0.0062
17:33:46.863,0.0065
17:33:46.911,0.0094
17:33:46.959,0.0068
17:33:46.989,0.0024
17:33:47.036,0.0112
17:33:47.097,0.0084
17:33:47.146,0.0094
17:33:47.178,0.0144
17:33:47.209,0.0092
17:33:47.257,0.0082
17:33:47.306,0.0012
17:33:47.340,0.0007
17:33:47.400,0.0103
17:33:47.447,0.01
17:33:47.479,0.0105
17:33:47.542,-0.008
17:33:47.574,-0.001
17:33:47.631,0.0055
17:33:47.674,0.0251
17:33:47.716,0.0207
17:33:47.763,0.0134
17:33:47.810,0.0002
17:33:47.857,0.006
17:33:47.910,0.0152
17:33:47.952,0.0085
17:33:47.984,0.0117
17:33:48.047,0.0086
17:33:48.079,0.0069
17:33:48.127,0.0125
17:33:48.175,-0.0087
17:33:48.221,0.0027
17:33:48.275,0.0085
17:33:48.323,-0.0022
17:33:48.364,0.0146
17:33:48.412,0.0038
17:33:48.459,0.0162
17:33:48.506,0.0021
17:33:48.554,0.009
17:33:48.590,0.0107
17:33:48.633,0.0125
17:33:48.682,-0.0116
17:33:48.729,0.0018
17:33:48.795,0.0116
17:33:48.824,0.0064
17:33:48.876,0.0004
17:33:48.934,-0.0055
17:33:48.983,0.0067
17:33:49.030,-0.0016
17:33:49.077,-0.0007
17:33:49.124,0.0102
17:33:49.176,0.0117
17:33:49.203,-0.0059
17:33:49.250,0.0056
17:33:49.298,0.026
17:33:49.346,-0.0104
17:33:49.394,-0.0004
17:33:49.442,0.015
17:33:49.509,-0.002
17:33:49.552,0.015
17:33:49.583,0.0004
17:33:49.647,0.0043
17:33:49.694,-0.0049
17:33:49.726,0.0053
17:33:49.786,0.0084
17:33:49.820,0.0068
17:33:49.867,0.0017
17:33:49.928,0.0153
17:33:49.976,0.0059
17:33:50.010,0.0022
17:33:50.057,0.0147
17:33:50.089,0.0108
17:33:50.137,0.0078
17:33:50.188,0.0091
17:33:50.240,-0.0009
17:33:50.290,-0.0094
17:33:50.327,0.0133
17:33:50.391,0.028
17:33:50.443,-0.0075
17:33:50.491,0.002
17:33:50.540,0.0053
17:33:50.589,-0.0004
17:33:50.636,0.0043
17:33:50.677,0.0073
17:33:50.734,0.0042
17:33:50.777,0.0023
17:33:50.835,0.016
17:33:50.883,0.0
17:33:50.914,0.0034
17:33:50.978,0.009
17:33:51.025,0.0141
17:33:51.074,0.0045
17:33:51.119,0.0059
17:33:51.172,0.0005
17:33:51.219,0.0113
17:33:51.277,0.0027
17:33:51.309,0.0128
17:33:51.371,0.0049
17:33:51.435,0.0092
17:33:51.492,0.0064
17:33:51.539,0.0137
17:33:51.594,0.0111
17:33:51.646,0.0059
17:33:51.710,-0.0028
17:33:51.768,0.0135
17:33:51.800,0.0055
17:33:51.852,-0.0077
17:33:51.910,0.0054
17:33:51.959,0.0154
17:33:52.006,-0.0046
17:33:52.039,0.0085
17:33:52.088,0.0157
17:33:52.138,0.0068
17:33:52.190,0.0003
